1000 10000
629 610 563
604 715 684
222 689 829
360 456 795
434 632 404
263 150 923
516 684 460
17 362 922
509 536 208
932 888 257
842 794 491
848 365 637
805 772 952
363 259 446
805 368 470
925 792 654
514 681 498
18 566 250
667 244 528
818 296 460
507 16 835
83 237 498
234 31 819
84 846 119
390 507 381
811 564 88
427 747 773
856 261 725
850 927 931
57 483 185
843 458 380
563 352 914
270 467 74
176 84 142
904 825 945
31 994 63
801 415 152
648 843 894
407 675 27
486 724 82
353 414 106
95 724 858
563 996 514
237 678 916
198 800 764
557 661 583
850 21 29
29 956 171
151 818 421
186 74 695
254 243 135
357 735 492
521 686 773
743 404 871
730 548 21
240 709 586
293 809 544
532 864 881
966 827 644
229 686 33
235 650 372
668 841 950
770 723 520
661 431 270
896 9 806
824 679 970
656 394 610
428 59 397
686 748 451
836 782 305
471 443 21
771 570 686
497 203 641
817 233 227
127 397 457
869 371 945
567 828 169
663 397 243
772 370 642
238 820 116
543 804 937
97 207 813
980 831 146
206 170 754
941 655 588
643 72 247
782 569 341
979 449 276
455 131 450
160 644 785
623 291 418
60 137 126
831 853 373
841 848 125
568 467 687
44 686 235
240 518 286
807 925 917
339 323 600
49 251 426
369 653 549
689 414 989
10 119 203
300 163 655
675 206 437
846 282 321
430 101 976
633 19 219
509 462 323
95 664 31
719 783 260
933 429 338
55 81 392
112 893 888
402 416 718
773 771 728
304 240 972
872 812 124
12 824 547
767 523 87
494 189 796
796 526 544
237 971 380
404 6 600
741 683 786
469 82 227
954 908 91
386 604 882
796 99 181
88 761 307
706 996 953
716 810 986
144 234 83
24 943 609
465 528 848
76 650 364
888 49 760
133 753 170
758 169 488
246 338 936
135 889 275
722 921 878
479 826 850
577 220 636
815 921 274
295 585 787
967 854 273
796 353 101
162 831 8
473 967 830
180 742 923
647 276 371
292 25 916
742 153 979
42 650 582
143 830 753
584 865 356
894 388 104
289 466 957
437 67 239
827 692 301
334 642 44
397 248 976
580 620 113
322 671 83
610 343 658
417 206 748
684 72 642
403 689 515
833 542 885
789 612 177
256 180 995
74 869 964
864 898 47
482 271 396
711 17 765
719 426 212
414 242 951
12 461 499
340 367 761
87 897 170
444 643 520
190 459 268
242 945 932
